Device,Day,Hour,Type,Sub-Type,Value
PV,15,7,Generated,Electricity,0.02
PV,15,8,Generated,Electricity,0.2
PV,15,9,Generated,Electricity,0.46
PV,15,10,Generated,Electricity,0.69
PV,15,11,Generated,Electricity,0.86
PV,15,12,Generated,Electricity,0.93
PV,15,13,Generated,Electricity,0.9
PV,15,14,Generated,Electricity,0.78
PV,15,15,Generated,Electricity,0.58
PV,15,16,Generated,Electricity,0.33
PV,15,17,Generated,Electricity,0.08
PV,15,18,Generated,Electricity,0.0
PV,15,19,Generated,Electricity,0.0
PV,15,20,Generated,Electricity,0.0
PV,15,21,Generated,Electricity,0.0
PV,15,22,Generated,Electricity,0.0
PV,15,23,Generated,Electricity,0.0
PV,16,0,Generated,Electricity,0.0
PV,16,1,Generated,Electricity,0.0
PV,16,2,Generated,Electricity,0.0
PV,16,3,Generated,Electricity,0.0
PV,16,4,Generated,Electricity,0.0
PV,16,5,Generated,Electricity,0.0
PV,16,6,Generated,Electricity,0.0
PV,16,7,Generated,Electricity,0.02
PV,16,8,Generated,Electricity,0.2
PV,16,9,Generated,Electricity,0.46
PV,16,10,Generated,Electricity,0.69
PV,16,11,Generated,Electricity,0.86
PV,16,12,Generated,Electricity,0.93
PV,16,13,Generated,Electricity,0.9
PV,16,14,Generated,Electricity,0.78
PV,16,15,Generated,Electricity,0.58
PV,16,16,Generated,Electricity,0.33
PV,16,17,Generated,Electricity,0.08
PV,16,18,Generated,Electricity,0.0
PV,16,19,Generated,Electricity,0.0
PV,16,20,Generated,Electricity,0.0
PV,16,21,Generated,Electricity,0.0
PV,16,22,Generated,Electricity,0.0
PV,16,23,Generated,Electricity,0.0
PV,17,0,Generated,Electricity,0.0
PV,17,1,Generated,Electricity,0.0
PV,17,2,Generated,Electricity,0.0
PV,17,3,Generated,Electricity,0.0
PV,17,4,Generated,Electricity,0.0
PV,17,5,Generated,Electricity,0.0
PV,17,6,Generated,Electricity,0.0
PV,17,7,Generated,Electricity,0.02
PV,17,8,Generated,Electricity,0.2
PV,17,9,Generated,Electricity,0.46
PV,17,10,Generated,Electricity,0.69
PV,17,11,Generated,Electricity,0.86
PV,17,12,Generated,Electricity,0.93
PV,17,13,Generated,Electricity,0.9
PV,17,14,Generated,Electricity,0.78
PV,17,15,Generated,Electricity,0.58
PV,17,16,Generated,Electricity,0.33
PV,17,17,Generated,Electricity,0.08
PV,17,18,Generated,Electricity,0.0
PV,17,19,Generated,Electricity,0.0
PV,17,20,Generated,Electricity,0.0
PV,17,21,Generated,Electricity,0.0
PV,17,22,Generated,Electricity,0.0
PV,17,23,Generated,Electricity,0.0
PV,18,0,Generated,Electricity,0.0
PV,18,1,Generated,Electricity,0.0
PV,18,2,Generated,Electricity,0.0
PV,18,3,Generated,Electricity,0.0
PV,18,4,Generated,Electricity,0.0
PV,18,5,Generated,Electricity,0.0
PV,18,6,Generated,Electricity,0.0
PV,18,7,Generated,Electricity,0.01
PV,18,8,Generated,Electricity,0.1
PV,18,9,Generated,Electricity,0.31
PV,18,10,Generated,Electricity,0.49
PV,18,11,Generated,Electricity,0.6
PV,18,12,Generated,Electricity,0.63
PV,18,13,Generated,Electricity,0.57
PV,18,14,Generated,Electricity,0.42
PV,18,15,Generated,Electricity,0.22
PV,18,16,Generated,Electricity,0.04
PV,18,17,Generated,Electricity,0.0
PV,18,18,Generated,Electricity,0.0
PV,18,19,Generated,Electricity,0.0
PV,18,20,Generated,Electricity,0.0
PV,18,21,Generated,Electricity,0.0
PV,18,22,Generated,Electricity,0.0
PV,18,23,Generated,Electricity,0.0
PV,19,0,Generated,Electricity,0.0
PV,19,1,Generated,Electricity,0.0
PV,19,2,Generated,Electricity,0.0
PV,19,3,Generated,Electricity,0.0
PV,19,4,Generated,Electricity,0.0
PV,19,5,Generated,Electricity,0.0
PV,19,6,Generated,Electricity,0.0
PV,19,7,Generated,Electricity,0.01
PV,19,8,Generated,Electricity,0.1
PV,19,9,Generated,Electricity,0.31
PV,19,10,Generated,Electricity,0.49
PV,19,11,Generated,Electricity,0.6
PV,19,12,Generated,Electricity,0.63
PV,19,13,Generated,Electricity,0.57
PV,19,14,Generated,Electricity,0.42
PV,19,15,Generated,Electricity,0.22
PV,19,16,Generated,Electricity,0.04
PV,19,17,Generated,Electricity,0.0
PV,19,18,Generated,Electricity,0.0
PV,19,19,Generated,Electricity,0.0
PV,19,20,Generated,Electricity,0.0
PV,19,21,Generated,Electricity,0.0
PV,19,22,Generated,Electricity,0.0
PV,19,23,Generated,Electricity,0.0
PV,20,0,Generated,Electricity,0.0
PV,20,1,Generated,Electricity,0.0
PV,20,2,Generated,Electricity,0.0
PV,20,3,Generated,Electricity,0.0
PV,20,4,Generated,Electricity,0.0
PV,20,5,Generated,Electricity,0.0
PV,20,6,Generated,Electricity,0.0
PV,20,7,Generated,Electricity,0.01
PV,20,8,Generated,Electricity,0.1
PV,20,9,Generated,Electricity,0.31
PV,20,10,Generated,Electricity,0.49
PV,20,11,Generated,Electricity,0.6
PV,20,12,Generated,Electricity,0.63
PV,20,13,Generated,Electricity,0.57
PV,20,14,Generated,Electricity,0.42
PV,20,15,Generated,Electricity,0.22
PV,20,16,Generated,Electricity,0.04
PV,20,17,Generated,Electricity,0.0
PV,20,18,Generated,Electricity,0.0
PV,20,19,Generated,Electricity,0.0
PV,20,20,Generated,Electricity,0.0
PV,20,21,Generated,Electricity,0.0
PV,20,22,Generated,Electricity,0.0
PV,20,23,Generated,Electricity,0.0
PV,21,0,Generated,Electricity,0.0
PV,21,1,Generated,Electricity,0.0
PV,21,2,Generated,Electricity,0.0
PV,21,3,Generated,Electricity,0.0
PV,21,4,Generated,Electricity,0.0
PV,21,5,Generated,Electricity,0.0
PV,21,6,Generated,Electricity,0.0
PV,21,7,Generated,Electricity,0.01
PV,21,8,Generated,Electricity,0.1
PV,21,9,Generated,Electricity,0.31
PV,21,10,Generated,Electricity,0.49
